question,topic,intent,difficulty,answer
Tell me about bias-variance tradeoff,Machine Learning,bias-variance tradeoff,Intermediate,"Balance between model simplicity (high bias, underfitting) and complexity (high variance, overfitting). Total error = bias² + variance + irreducible error."
model definition,Machine Learning,model,Beginner,"A mathematical representation that makes predictions. Learned from training data. Can be linear regression, neural network, decision tree, etc."
Help me understand learning rate,Machine Learning,learning rate,Intermediate,Hyperparameter controlling step size in gradient descent. Too large: overshoots minimum. Too small: slow convergence. Typical values: 0.001 to 0.1.
What does deque mean?,Data Structures,deque,Beginner,Double-ended queue. Can add/remove from both ends. Supports both stack and queue operations.
What should I know about model deployment?,Machine Learning,model deployment,Advanced,"Putting trained model into production. Considerations: serving infrastructure, monitoring, versioning, A/B testing, retraining strategy."
Explain how machine learning works,Machine Learning,machine learning,Beginner,"A subset of AI where systems learn from data without explicit programming. Algorithms improve performance through experience. Three main types: supervised, unsupervised, reinforcement."
What do you mean by regularization?,Machine Learning,regularization,Intermediate,Technique to prevent overfitting by penalizing complex models. L1 (Lasso) encourages sparsity. L2 (Ridge) shrinks coefficients. Controls model complexity.
REST API definition,Web Development,REST API,Intermediate,Representational State Transfer API uses HTTP methods. Stateless communication. Resources identified by URLs. Returns JSON/XML. Standard for web services.
Show me how to use chain rule,Mathematics for AI,chain rule,Beginner,Computes derivative of composite functions. Fundamental to backpropagation. (f∘g)' = f'(g) · g'
Explain hashing to me,Cybersecurity,hashing,Intermediate,"One-way function producing fixed-size output. Cannot reverse. Used for passwords, data integrity. Examples: SHA-256, MD5 (deprecated)."
Tell me about semi-supervised learning,Machine Learning,semi-supervised learning,Advanced,"Uses both labeled and unlabeled data. Leverages large amount of unlabeled data with small labeled set. Methods: self-training, co-training, pseudo-labeling."
Tell me about accuracy,Machine Learning,accuracy,Beginner,Percentage of correct predictions. (TP + TN) / Total. Simple metric but can be misleading for imbalanced datasets.
How does topological sort work?,Algorithms,topological sort,Intermediate,Linear ordering of directed acyclic graph vertices. Vertex u comes before v if edge u→v exists. Uses DFS or Kahn's algorithm.
Help me understand encryption,Cybersecurity,encryption,Intermediate,"Converting plaintext to ciphertext. Protects confidentiality. Symmetric (same key) and asymmetric (public/private keys). AES, RSA common."
Help me understand property,Python Programming,property,Intermediate,A decorator that allows methods to be accessed like attributes. Provides controlled access to class attributes.
Why should I learn supervised learning?,Machine Learning,supervised learning,Beginner,Learning from labeled data (input-output pairs). Algorithm learns mapping from inputs to outputs. Tasks: classification (discrete) and regression (continuous).
Tell me about pull,Git & Version Control,pull,Intermediate,Fetching and merging remote changes. git pull. Updates local repository. Combination of fetch + merge.
Why should I learn label?,Machine Learning,label,Beginner,"The output or target variable in supervised learning. What we want to predict. Examples: spam/not spam, house price."
What do you mean by polymorphism?,Object-Oriented Programming,polymorphism,Intermediate,"Same interface, different implementations. Types: compile-time (overloading), runtime (overriding). Enables flexibility and extensibility."
Describe comparison operators,Python Basics,comparison operators,Beginner,"Compare values: == (equal), != (not equal), < (less than), > (greater than), <= (less or equal), >= (greater or equal)."
Define convolution,Deep Learning,convolution,Intermediate,"Operation that applies filters to input to extract features. Filter slides across input, computing dot product. Learns features like edges, textures, patterns."
Can you explain what monitoring is?,DevOps,monitoring,Intermediate,"Observing system health and performance. Metrics, logs, traces. Alerts on issues. Tools: Prometheus, Grafana, DataDog, New Relic."
Help me understand precision-recall curve,Machine Learning,precision-recall curve,Advanced,Plots precision vs recall at various thresholds. Better than ROC for imbalanced datasets. Area under curve indicates quality.
Why is pull important?,Git & Version Control,pull,Intermediate,Fetching and merging remote changes. git pull. Updates local repository. Combination of fetch + merge.
Help me understand while loop,Python Basics,while loop,Beginner,Loop that continues executing while a condition is True. Syntax: while condition: # code block. Be careful to avoid infinite loops.
Explain clone to me,Git & Version Control,clone,Intermediate,Creating local copy of remote repository. git clone <url>. Downloads full history. Establishes connection to remote.
Explain neuron,Deep Learning,neuron,Beginner,"Basic unit in neural network. Computes weighted sum of inputs plus bias, applies activation function. Output becomes input for next layer."
Please tell me about hierarchical clustering,Machine Learning,hierarchical clustering,Intermediate,Builds tree of clusters. Agglomerative (bottom-up) or divisive (top-down). Doesn't require k specification. Results in dendrogram.
Tell me about pooling,Deep Learning,pooling,Intermediate,Reduces spatial dimensions in CNNs. Max pooling takes maximum value in region. Average pooling computes average. Provides translation invariance.
I want to learn about mocking,Software Testing,mocking,Intermediate,"Creating fake objects for testing. Isolates code under test. Frameworks: Mockito (Java), unittest.mock (Python), Jest (JavaScript)."
Help me understand batch normalization,Deep Learning,batch normalization,Intermediate,"Normalizes layer inputs for each mini-batch. Reduces internal covariate shift. Benefits: faster training, higher learning rates, regularization effect."
How do you implement Q-learning?,Reinforcement Learning,Q-learning,Intermediate,"Off-policy algorithm learning action-value function. Updates Q(s,a) using Bellman equation. Model-free. Works in discrete spaces."
I want to learn about HTML,Web Development,HTML,Intermediate,"HyperText Markup Language structures web content. Uses tags to define elements: headings, paragraphs, links, images. Foundation of web pages."
